originalEdgeIDS : 
1	2	3	4	5	6	7	8	10	11	12	13	17	19	21	31	36	37	41	47	51	53	55	64	71	75	76	77	81	95	96	100	109	114	115	142	146	176	180	186	220	302	304	305	339	475	508	509	542	543	644	645	679	712	713	780	781	807	809	811	814	815	841	843	847	881	913	917	951	983	985	1018	1019	1052	1053	1086	1087	1121	

1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	(0.830596)
1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	(0.401833)
1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	(0.747801)
1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	(0.878004)
1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	(0.743521)
1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	(0.740363)
0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	(0.805577)
1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	(0.823743)
0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	(0.639929)
0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	(0.607843)
1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	(0.629699)
1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	(0.517219)
1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	(0.670089)
1	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	(0.652585)
0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	(0.491756)
1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	(0.577308)
0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	(0.701872)
1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	(0.713607)
0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	(0.652125)
0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	(0.593583)
0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	(0.653075)
1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	(0.654857)
1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	(0.578226)
1	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	(0.408422)
